information_action_id~information_action_type~sending_agent_id~receiving_agent_id~information_packet_id~endorsed_agent_id~change_in_amplification~tick~simulation_id
InfoAct_id_185~send~Delfi LT (delfi.lt)~B-ID-36~IP-423~0~0~1~1
InfoAct_id_186~send~Delfi LT (delfi.lt)~B-ID-36~IP-424~0~0~1~1
InfoAct_id_187~send~Delfi LT (delfi.lt)~B-ID-36~IP-425~0~0~1~1
InfoAct_id_188~send~Delfi LT (delfi.lt)~B-ID-36~IP-426~0~0~1~1
InfoAct_id_189~send~Delfi LT (delfi.lt)~B-ID-36~IP-427~0~0~1~1
InfoAct_id_190~send~Delfi LT (delfi.lt)~B-ID-36~IP-428~0~0~1~1
InfoAct_id_191~send~Delfi LT (delfi.lt)~B-ID-36~IP-429~0~0~1~1
InfoAct_id_192~send~Delfi LT (delfi.lt)~B-ID-38~IP-422~0~-0.1~1~1
InfoAct_id_193~send~Delfi LT (delfi.lt)~B-ID-38~IP-422~0~0~1~1
InfoAct_id_194~send~Delfi LT (delfi.lt)~B-ID-38~IP-423~0~0~1~1
InfoAct_id_195~send~Delfi LT (delfi.lt)~B-ID-38~IP-424~0~0~1~1
InfoAct_id_196~send~Delfi LT (delfi.lt)~B-ID-38~IP-425~0~0~1~1
InfoAct_id_197~send~Delfi LT (delfi.lt)~B-ID-38~IP-426~0~0~1~1
InfoAct_id_198~send~Delfi LT (delfi.lt)~B-ID-38~IP-427~0~0~1~1
InfoAct_id_199~send~Delfi LT (delfi.lt)~B-ID-38~IP-428~0~0~1~1
InfoAct_id_200~send~Delfi LT (delfi.lt)~B-ID-38~IP-429~0~0~1~1
InfoAct_id_201~send~Delfi LT (delfi.lt)~B-ID-40~IP-425~0~+0.1~1~1
InfoAct_id_202~send~Delfi LT (delfi.lt)~B-ID-40~IP-422~0~0~1~1
InfoAct_id_203~send~Delfi LT (delfi.lt)~B-ID-40~IP-423~0~0~1~1
InfoAct_id_204~send~Delfi LT (delfi.lt)~B-ID-40~IP-424~0~0~1~1
InfoAct_id_205~send~Delfi LT (delfi.lt)~B-ID-40~IP-425~0~0~1~1
InfoAct_id_206~send~Delfi LT (delfi.lt)~B-ID-40~IP-426~0~0~1~1
InfoAct_id_207~send~Delfi LT (delfi.lt)~B-ID-40~IP-427~0~0~1~1
InfoAct_id_208~send~Delfi LT (delfi.lt)~B-ID-40~IP-428~0~0~1~1
InfoAct_id_209~send~Delfi LT (delfi.lt)~B-ID-40~IP-429~0~0~1~1
InfoAct_id_210~send~Delfi LT (delfi.lt)~B-ID-41~IP-422~0~-0.1~1~1
InfoAct_id_211~send~Delfi LT (delfi.lt)~B-ID-41~IP-422~0~0~1~1
InfoAct_id_212~send~Delfi LT (delfi.lt)~B-ID-41~IP-423~0~0~1~1
InfoAct_id_213~send~Delfi LT (delfi.lt)~B-ID-41~IP-424~0~0~1~1
InfoAct_id_214~send~Delfi LT (delfi.lt)~B-ID-41~IP-425~0~0~1~1
InfoAct_id_215~send~Delfi LT (delfi.lt)~B-ID-41~IP-426~0~0~1~1
InfoAct_id_216~send~Delfi LT (delfi.lt)~B-ID-41~IP-427~0~0~1~1
InfoAct_id_217~send~Delfi LT (delfi.lt)~B-ID-41~IP-428~0~0~1~1
InfoAct_id_218~send~Delfi LT (delfi.lt)~B-ID-41~IP-429~0~0~1~1
InfoAct_id_219~send~Delfi LT (delfi.lt)~B-ID-43~IP-427~0~+0.1~1~1
InfoAct_id_220~send~Delfi LT (delfi.lt)~B-ID-43~IP-422~0~0~1~1
InfoAct_id_221~send~Delfi LT (delfi.lt)~B-ID-43~IP-423~0~0~1~1
InfoAct_id_222~send~Delfi LT (delfi.lt)~B-ID-43~IP-424~0~0~1~1
InfoAct_id_223~send~Delfi LT (delfi.lt)~B-ID-43~IP-425~0~0~1~1
InfoAct_id_224~send~Delfi LT (delfi.lt)~B-ID-43~IP-426~0~0~1~1
InfoAct_id_225~send~Delfi LT (delfi.lt)~B-ID-43~IP-427~0~0~1~1
InfoAct_id_226~send~Delfi LT (delfi.lt)~B-ID-43~IP-428~0~0~1~1
InfoAct_id_227~send~Delfi LT (delfi.lt)~B-ID-43~IP-429~0~0~1~1
InfoAct_id_228~send~Delfi LT (delfi.lt)~B-ID-46~IP-426~0~+0.1~1~1
InfoAct_id_229~send~Delfi LT (delfi.lt)~B-ID-46~IP-422~0~0~1~1
InfoAct_id_230~send~Delfi LT (delfi.lt)~B-ID-46~IP-423~0~0~1~1
InfoAct_id_231~send~Delfi LT (delfi.lt)~B-ID-46~IP-424~0~0~1~1
InfoAct_id_232~send~Delfi LT (delfi.lt)~B-ID-46~IP-425~0~0~1~1
InfoAct_id_233~send~Delfi LT (delfi.lt)~B-ID-46~IP-426~0~0~1~1
InfoAct_id_234~send~Delfi LT (delfi.lt)~B-ID-46~IP-427~0~0~1~1
InfoAct_id_235~send~Delfi LT (delfi.lt)~B-ID-46~IP-428~0~0~1~1
InfoAct_id_236~send~Delfi LT (delfi.lt)~B-ID-46~IP-429~0~0~1~1
InfoAct_id_237~send~Delfi LT (delfi.lt)~B-ID-48~IP-426~0~-0.1~1~1
InfoAct_id_238~send~Delfi LT (delfi.lt)~B-ID-48~IP-422~0~0~1~1
InfoAct_id_239~send~Delfi LT (delfi.lt)~B-ID-48~IP-423~0~0~1~1
InfoAct_id_240~send~Delfi LT (delfi.lt)~B-ID-48~IP-424~0~0~1~1
InfoAct_id_241~send~Delfi LT (delfi.lt)~B-ID-48~IP-425~0~0~1~1
InfoAct_id_242~send~Delfi LT (delfi.lt)~B-ID-48~IP-426~0~0~1~1
InfoAct_id_243~send~Delfi LT (delfi.lt)~B-ID-48~IP-427~0~0~1~1
InfoAct_id_244~send~Delfi LT (delfi.lt)~B-ID-48~IP-428~0~0~1~1
InfoAct_id_245~send~Delfi LT (delfi.lt)~B-ID-48~IP-429~0~0~1~1
InfoAct_id_246~send~Delfi LT (delfi.lt)~B-ID-53~IP-424~0~-0.1~1~1
InfoAct_id_247~send~Delfi LT (delfi.lt)~B-ID-53~IP-422~0~0~1~1
InfoAct_id_248~send~Delfi LT (delfi.lt)~B-ID-53~IP-423~0~0~1~1
InfoAct_id_249~send~Delfi LT (delfi.lt)~B-ID-53~IP-424~0~0~1~1
InfoAct_id_250~send~Delfi LT (delfi.lt)~B-ID-53~IP-425~0~0~1~1
InfoAct_id_251~send~Delfi LT (delfi.lt)~B-ID-53~IP-426~0~0~1~1
InfoAct_id_252~send~Delfi LT (delfi.lt)~B-ID-53~IP-427~0~0~1~1
InfoAct_id_253~send~Delfi LT (delfi.lt)~B-ID-53~IP-428~0~0~1~1
InfoAct_id_254~send~Delfi LT (delfi.lt)~B-ID-53~IP-429~0~0~1~1
InfoAct_id_255~send~Delfi LT (delfi.lt)~B-ID-59~IP-429~0~-0.1~1~1
InfoAct_id_256~send~Delfi LT (delfi.lt)~B-ID-59~IP-422~0~0~1~1
InfoAct_id_257~send~Delfi LT (delfi.lt)~B-ID-59~IP-423~0~0~1~1
InfoAct_id_258~send~Delfi LT (delfi.lt)~B-ID-59~IP-424~0~0~1~1
InfoAct_id_259~send~Delfi LT (delfi.lt)~B-ID-59~IP-425~0~0~1~1
InfoAct_id_260~send~Delfi LT (delfi.lt)~B-ID-59~IP-426~0~0~1~1
InfoAct_id_261~send~Delfi LT (delfi.lt)~B-ID-59~IP-427~0~0~1~1
InfoAct_id_262~send~Delfi LT (delfi.lt)~B-ID-59~IP-428~0~0~1~1
InfoAct_id_263~send~Delfi LT (delfi.lt)~B-ID-59~IP-429~0~0~1~1
InfoAct_id_264~send~Delfi LT (delfi.lt)~B-ID-60~IP-423~0~-0.1~1~1
InfoAct_id_265~send~Delfi LT (delfi.lt)~B-ID-60~IP-422~0~0~1~1
InfoAct_id_266~send~Delfi LT (delfi.lt)~B-ID-60~IP-423~0~0~1~1
InfoAct_id_267~send~Delfi LT (delfi.lt)~B-ID-60~IP-424~0~0~1~1
InfoAct_id_268~send~Delfi LT (delfi.lt)~B-ID-60~IP-425~0~0~1~1
InfoAct_id_269~send~Delfi LT (delfi.lt)~B-ID-60~IP-426~0~0~1~1
InfoAct_id_270~send~Delfi LT (delfi.lt)~B-ID-60~IP-427~0~0~1~1
InfoAct_id_271~send~Delfi LT (delfi.lt)~B-ID-60~IP-428~0~0~1~1
InfoAct_id_272~send~Delfi LT (delfi.lt)~B-ID-60~IP-429~0~0~1~1
InfoAct_id_273~send~Delfi LT (delfi.lt)~B-ID-61~IP-424~0~-0.1~1~1
InfoAct_id_274~send~Delfi LT (delfi.lt)~B-ID-61~IP-422~0~0~1~1
InfoAct_id_275~send~Delfi LT (delfi.lt)~B-ID-61~IP-423~0~0~1~1
InfoAct_id_276~send~Delfi LT (delfi.lt)~B-ID-61~IP-424~0~0~1~1
InfoAct_id_277~send~Delfi LT (delfi.lt)~B-ID-61~IP-425~0~0~1~1
InfoAct_id_278~send~Delfi LT (delfi.lt)~B-ID-61~IP-426~0~0~1~1
InfoAct_id_279~send~Delfi LT (delfi.lt)~B-ID-61~IP-427~0~0~1~1
InfoAct_id_280~send~Delfi LT (delfi.lt)~B-ID-61~IP-428~0~0~1~1
InfoAct_id_281~send~Delfi LT (delfi.lt)~B-ID-61~IP-429~0~0~1~1
InfoAct_id_282~send~Delfi LT (delfi.lt)~B-ID-62~IP-427~0~-0.1~1~1
InfoAct_id_283~send~Delfi LT (delfi.lt)~B-ID-62~IP-422~0~0~1~1
InfoAct_id_284~send~Delfi LT (delfi.lt)~B-ID-62~IP-423~0~0~1~1
InfoAct_id_285~send~Delfi LT (delfi.lt)~B-ID-62~IP-424~0~0~1~1
InfoAct_id_286~send~Delfi LT (delfi.lt)~B-ID-62~IP-425~0~0~1~1
InfoAct_id_287~send~Delfi LT (delfi.lt)~B-ID-62~IP-426~0~0~1~1
InfoAct_id_288~send~Delfi LT (delfi.lt)~B-ID-62~IP-427~0~0~1~1
InfoAct_id_289~send~Delfi LT (delfi.lt)~B-ID-62~IP-428~0~0~1~1
