information_action_id~information_action_type~sending_agent_id~receiving_agent_id~information_packet_id~endorsed_agent_id~change_in_amplification~tick~simulation_id
InfoAct_id_993~RECEIVE~Simonas Gurevicius~Gabrielius Landsbergis~IP-425~0~0~3~1
InfoAct_id_994~SEND~Simonas Gurevicius~Gabrielius Landsbergis~IP-425~0~0~2~1
InfoAct_id_995~RECEIVE~Simonas Gurevicius~Gabrielius Landsbergis~IP-426~0~0~3~1
InfoAct_id_996~SEND~Simonas Gurevicius~Gabrielius Landsbergis~IP-426~0~0~2~1
InfoAct_id_997~RECEIVE~Simonas Gurevicius~Gabrielius Landsbergis~IP-427~0~0~3~1
InfoAct_id_998~SEND~Simonas Gurevicius~Gabrielius Landsbergis~IP-427~0~0~2~1
InfoAct_id_999~RECEIVE~Simonas Gurevicius~Gabrielius Landsbergis~IP-428~0~0~3~1
InfoAct_id_1000~SEND~Simonas Gurevicius~Gabrielius Landsbergis~IP-428~0~0~2~1
InfoAct_id_1001~RECEIVE~Simonas Gurevicius~Gabrielius Landsbergis~IP-429~0~0~3~1
InfoAct_id_1002~SEND~Simonas Gurevicius~Gabrielius Landsbergis~IP-429~0~0~2~1
InfoAct_id_1003~SEND~Simonas Gurevicius~Gitanas Nauseda~IP-7~0~0~2~1
InfoAct_id_1004~SEND~Simonas Gurevicius~Gitanas Nauseda~IP-192~0~0~2~1
InfoAct_id_1005~SEND~Simonas Gurevicius~Gitanas Nauseda~IP-193~0~0~2~1
InfoAct_id_1006~SEND~Simonas Gurevicius~Gitanas Nauseda~IP-194~0~0~2~1
InfoAct_id_1007~SEND~Simonas Gurevicius~Gitanas Nauseda~IP-195~0~0~2~1
InfoAct_id_1008~SEND~Simonas Gurevicius~Gitanas Nauseda~IP-196~0~0~2~1
InfoAct_id_1009~SEND~Simonas Gurevicius~Gitanas Nauseda~IP-197~0~0~2~1
InfoAct_id_1010~SEND~Simonas Gurevicius~Gitanas Nauseda~IP-198~0~0~2~1
InfoAct_id_1011~SEND~Simonas Gurevicius~Gitanas Nauseda~IP-199~0~0~2~1
InfoAct_id_1012~SEND~Simonas Gurevicius~Gitanas Nauseda~IP-1~0~0~2~1
InfoAct_id_1013~SEND~Simonas Gurevicius~Gitanas Nauseda~IP-2~0~0~2~1
InfoAct_id_1014~SEND~Simonas Gurevicius~Gitanas Nauseda~IP-3~0~0~2~1
InfoAct_id_1015~SEND~Simonas Gurevicius~Gitanas Nauseda~IP-4~0~0~2~1
InfoAct_id_1016~SEND~Simonas Gurevicius~Gitanas Nauseda~IP-5~0~0~2~1
InfoAct_id_1017~SEND~Simonas Gurevicius~Gitanas Nauseda~IP-6~0~0~2~1
InfoAct_id_1018~SEND~Simonas Gurevicius~Gitanas Nauseda~IP-7~0~0~2~1
InfoAct_id_1019~SEND~Simonas Gurevicius~Gitanas Nauseda~IP-8~0~0~2~1
InfoAct_id_1020~SEND~Simonas Gurevicius~Gitanas Nauseda~IP-9~0~0~2~1
InfoAct_id_1021~SEND~Simonas Gurevicius~Gitanas Nauseda~IP-10~0~0~2~1
InfoAct_id_1022~SEND~Simonas Gurevicius~Gitanas Nauseda~IP-422~0~0~2~1
InfoAct_id_1023~SEND~Simonas Gurevicius~Gitanas Nauseda~IP-423~0~0~2~1
InfoAct_id_1024~SEND~Simonas Gurevicius~Gitanas Nauseda~IP-424~0~0~2~1
InfoAct_id_1025~SEND~Simonas Gurevicius~Gitanas Nauseda~IP-425~0~0~2~1
InfoAct_id_1026~SEND~Simonas Gurevicius~Gitanas Nauseda~IP-426~0~0~2~1
InfoAct_id_1027~SEND~Simonas Gurevicius~Gitanas Nauseda~IP-427~0~0~2~1
InfoAct_id_1028~SEND~Simonas Gurevicius~Gitanas Nauseda~IP-428~0~0~2~1
InfoAct_id_1029~SEND~Simonas Gurevicius~Gitanas Nauseda~IP-429~0~0~2~1
InfoAct_id_1030~SEND~Simonas Gurevicius~Ingrida Simonyte~IP-195~0~+0.1~2~1
InfoAct_id_1031~RECEIVE~Simonas Gurevicius~Ingrida Simonyte~IP-192~0~0~3~1
InfoAct_id_1032~SEND~Simonas Gurevicius~Ingrida Simonyte~IP-192~0~0~2~1
InfoAct_id_1033~RECEIVE~Simonas Gurevicius~Ingrida Simonyte~IP-193~0~0~3~1
InfoAct_id_1034~SEND~Simonas Gurevicius~Ingrida Simonyte~IP-193~0~0~2~1
InfoAct_id_1035~RECEIVE~Simonas Gurevicius~Ingrida Simonyte~IP-194~0~0~3~1
InfoAct_id_1036~SEND~Simonas Gurevicius~Ingrida Simonyte~IP-194~0~0~2~1
InfoAct_id_1037~RECEIVE~Simonas Gurevicius~Ingrida Simonyte~IP-195~0~0~3~1
InfoAct_id_1038~SEND~Simonas Gurevicius~Ingrida Simonyte~IP-195~0~0~2~1
