information_action_id~information_action_type~sending_agent_id~receiving_agent_id~information_packet_id~endorsed_agent_id~change_in_amplification~tick~simulation_id
InfoAct_id_4990~SEND~Kauno Diena (kauno.diena.lt)~B-ID-1~IP-238~0~0~3~Sim0
InfoAct_id_4991~SEND~Kauno Diena (kauno.diena.lt)~B-ID-1~IP-242~0~0~3~Sim0
InfoAct_id_4992~SEND~Kauno Diena (kauno.diena.lt)~B-ID-1~IP-246~0~0~3~Sim0
InfoAct_id_4993~SEND~Kauno Diena (kauno.diena.lt)~B-ID-1~IP-250~0~0~3~Sim0
InfoAct_id_4994~SEND~Kauno Diena (kauno.diena.lt)~B-ID-1~IP-254~0~0~3~Sim0
InfoAct_id_4995~SEND~Kauno Diena (kauno.diena.lt)~B-ID-1~IP-258~0~0~3~Sim0
InfoAct_id_4996~SEND~Kauno Diena (kauno.diena.lt)~B-ID-1~IP-262~0~0~3~Sim0
InfoAct_id_4997~SEND~Kauno Diena (kauno.diena.lt)~B-ID-1~IP-266~0~0~3~Sim0
InfoAct_id_4998~SEND~Kauno Diena (kauno.diena.lt)~B-ID-1~IP-270~0~0~3~Sim0
InfoAct_id_4999~SEND~Kauno Diena (kauno.diena.lt)~B-ID-29~IP-238~0~0~3~Sim0
InfoAct_id_5000~SEND~Kauno Diena (kauno.diena.lt)~B-ID-29~IP-242~0~0~3~Sim0
InfoAct_id_5001~SEND~Kauno Diena (kauno.diena.lt)~B-ID-29~IP-246~0~0~3~Sim0
InfoAct_id_5002~SEND~Kauno Diena (kauno.diena.lt)~B-ID-29~IP-250~0~0~3~Sim0
InfoAct_id_5003~SEND~Kauno Diena (kauno.diena.lt)~B-ID-29~IP-254~0~0~3~Sim0
InfoAct_id_5004~SEND~Kauno Diena (kauno.diena.lt)~B-ID-29~IP-258~0~0~3~Sim0
InfoAct_id_5005~SEND~Kauno Diena (kauno.diena.lt)~B-ID-29~IP-262~0~0~3~Sim0
InfoAct_id_5006~SEND~Kauno Diena (kauno.diena.lt)~B-ID-29~IP-266~0~0~3~Sim0
InfoAct_id_5007~SEND~Kauno Diena (kauno.diena.lt)~B-ID-29~IP-270~0~0~3~Sim0
InfoAct_id_5008~SEND~Kauno Diena (kauno.diena.lt)~Simonas Gurevicius~IP-238~0~0~3~Sim0
InfoAct_id_5009~SEND~Kauno Diena (kauno.diena.lt)~Simonas Gurevicius~IP-242~0~0~3~Sim0
InfoAct_id_5010~SEND~Kauno Diena (kauno.diena.lt)~Simonas Gurevicius~IP-246~0~0~3~Sim0
InfoAct_id_5011~SEND~Kauno Diena (kauno.diena.lt)~Simonas Gurevicius~IP-250~0~0~3~Sim0
InfoAct_id_5012~SEND~Kauno Diena (kauno.diena.lt)~Simonas Gurevicius~IP-254~0~0~3~Sim0
InfoAct_id_5013~SEND~Kauno Diena (kauno.diena.lt)~Simonas Gurevicius~IP-258~0~0~3~Sim0
InfoAct_id_5014~SEND~Kauno Diena (kauno.diena.lt)~Simonas Gurevicius~IP-262~0~0~3~Sim0
InfoAct_id_5015~SEND~Kauno Diena (kauno.diena.lt)~Simonas Gurevicius~IP-266~0~0~3~Sim0
InfoAct_id_5016~SEND~Kauno Diena (kauno.diena.lt)~Simonas Gurevicius~IP-270~0~0~3~Sim0
InfoAct_id_5017~SEND~Kauno Diena (kauno.diena.lt)~Bishop K?stutis K?valas CATH~IP-238~0~0~3~Sim0
