information_action_id~information_action_type~sending_agent_id~receiving_agent_id~information_packet_id~endorsed_agent_id~change_in_amplification~tick~simulation_id
InfoAct_id_127~SEND~Diena (Diena.lt)~B-ID-67~IP-155~0~0~1~Sim0
InfoAct_id_128~SEND~Diena (Diena.lt)~B-ID-67~IP-159~0~0~1~Sim0
InfoAct_id_129~SEND~Diena (Diena.lt)~B-ID-67~IP-163~0~0~1~Sim0
InfoAct_id_130~SEND~Diena (Diena.lt)~B-ID-67~IP-167~0~0~1~Sim0
InfoAct_id_131~SEND~Diena (Diena.lt)~B-ID-67~IP-171~0~0~1~Sim0
InfoAct_id_132~SEND~Diena (Diena.lt)~B-ID-67~IP-175~0~0~1~Sim0
InfoAct_id_133~SEND~Diena (Diena.lt)~B-ID-67~IP-179~0~0~1~Sim0
InfoAct_id_134~SEND~Diena (Diena.lt)~B-ID-67~IP-183~0~0~1~Sim0
InfoAct_id_135~SEND~Diena (Diena.lt)~B-ID-67~IP-187~0~0~1~Sim0
InfoAct_id_136~SEND~Diena (Diena.lt)~B-ID-67~IP-191~0~0~1~Sim0
InfoAct_id_137~SEND~15min (15min.lt)~B-ID-3~IP-274~0~0~1~Sim0
InfoAct_id_138~SEND~15min (15min.lt)~B-ID-3~IP-278~0~0~1~Sim0
InfoAct_id_139~SEND~15min (15min.lt)~B-ID-3~IP-282~0~0~1~Sim0
InfoAct_id_140~SEND~15min (15min.lt)~B-ID-3~IP-286~0~0~1~Sim0
InfoAct_id_141~SEND~15min (15min.lt)~B-ID-3~IP-290~0~0~1~Sim0
InfoAct_id_142~SEND~15min (15min.lt)~B-ID-3~IP-307~0~0~1~Sim0
InfoAct_id_143~SEND~15min (15min.lt)~B-ID-3~IP-311~0~0~1~Sim0
InfoAct_id_144~SEND~15min (15min.lt)~B-ID-3~IP-315~0~0~1~Sim0
InfoAct_id_145~SEND~15min (15min.lt)~B-ID-3~IP-319~0~0~1~Sim0
InfoAct_id_146~SEND~15min (15min.lt)~B-ID-3~IP-323~0~0~1~Sim0
InfoAct_id_147~SEND~15min (15min.lt)~B-ID-3~IP-327~0~0~1~Sim0
InfoAct_id_148~SEND~15min (15min.lt)~B-ID-3~IP-331~0~0~1~Sim0
InfoAct_id_149~SEND~15min (15min.lt)~B-ID-3~IP-335~0~0~1~Sim0
InfoAct_id_150~SEND~15min (15min.lt)~B-ID-3~IP-339~0~0~1~Sim0
InfoAct_id_151~SEND~15min (15min.lt)~B-ID-5~IP-274~0~0~1~Sim0
InfoAct_id_152~SEND~15min (15min.lt)~B-ID-5~IP-278~0~0~1~Sim0
InfoAct_id_153~SEND~15min (15min.lt)~B-ID-5~IP-282~0~0~1~Sim0
InfoAct_id_154~SEND~15min (15min.lt)~B-ID-5~IP-286~0~0~1~Sim0
InfoAct_id_155~SEND~15min (15min.lt)~B-ID-5~IP-290~0~0~1~Sim0
InfoAct_id_156~SEND~15min (15min.lt)~B-ID-5~IP-307~0~0~1~Sim0
InfoAct_id_157~SEND~15min (15min.lt)~B-ID-5~IP-311~0~0~1~Sim0
InfoAct_id_158~SEND~15min (15min.lt)~B-ID-5~IP-315~0~0~1~Sim0
InfoAct_id_159~SEND~15min (15min.lt)~B-ID-5~IP-319~0~0~1~Sim0
InfoAct_id_160~SEND~15min (15min.lt)~B-ID-5~IP-323~0~0~1~Sim0
InfoAct_id_161~SEND~15min (15min.lt)~B-ID-5~IP-327~0~0~1~Sim0
InfoAct_id_162~SEND~15min (15min.lt)~B-ID-5~IP-331~0~0~1~Sim0
InfoAct_id_163~SEND~15min (15min.lt)~B-ID-5~IP-335~0~0~1~Sim0
InfoAct_id_164~SEND~15min (15min.lt)~B-ID-5~IP-339~0~0~1~Sim0
InfoAct_id_165~SEND~15min (15min.lt)~B-ID-12~IP-274~0~0~1~Sim0
InfoAct_id_166~SEND~15min (15min.lt)~B-ID-12~IP-278~0~0~1~Sim0
InfoAct_id_167~SEND~15min (15min.lt)~B-ID-12~IP-282~0~0~1~Sim0
InfoAct_id_168~SEND~15min (15min.lt)~B-ID-12~IP-286~0~0~1~Sim0
InfoAct_id_169~SEND~15min (15min.lt)~B-ID-12~IP-290~0~0~1~Sim0
InfoAct_id_170~SEND~15min (15min.lt)~B-ID-12~IP-307~0~0~1~Sim0
