information_action_id~information_action_type~sending_agent_id~receiving_agent_id~information_packet_id~endorsed_agent_id~change_in_amplification~tick~simulation_id
InfoAct_id_3106~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-27~0~0~2~Sim0
InfoAct_id_3107~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-31~0~0~2~Sim0
InfoAct_id_3108~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-35~0~0~2~Sim0
InfoAct_id_3109~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-46~0~0~2~Sim0
InfoAct_id_3110~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-50~0~0~2~Sim0
InfoAct_id_3111~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-54~0~0~2~Sim0
InfoAct_id_3112~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-58~0~0~2~Sim0
InfoAct_id_3113~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-62~0~0~2~Sim0
InfoAct_id_3114~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-66~0~0~2~Sim0
InfoAct_id_3115~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-70~0~0~2~Sim0
InfoAct_id_3116~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-74~0~0~2~Sim0
InfoAct_id_3117~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-78~0~0~2~Sim0
InfoAct_id_3118~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-82~0~0~2~Sim0
InfoAct_id_3119~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-86~0~0~2~Sim0
InfoAct_id_3120~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-90~0~0~2~Sim0
InfoAct_id_3121~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-94~0~0~2~Sim0
InfoAct_id_3122~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-98~0~0~2~Sim0
InfoAct_id_3123~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-102~0~0~2~Sim0
InfoAct_id_3124~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-106~0~0~2~Sim0
InfoAct_id_3125~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-110~0~0~2~Sim0
InfoAct_id_3126~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-423~0~0~2~Sim0
InfoAct_id_3127~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-427~0~0~2~Sim0
InfoAct_id_3128~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-431~0~0~2~Sim0
InfoAct_id_3129~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-435~0~0~2~Sim0
InfoAct_id_3130~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-439~0~0~2~Sim0
InfoAct_id_3131~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-443~0~0~2~Sim0
InfoAct_id_3132~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-447~0~0~2~Sim0
InfoAct_id_3133~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-451~0~0~2~Sim0
InfoAct_id_3134~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-455~0~0~2~Sim0
InfoAct_id_3135~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-459~0~0~2~Sim0
InfoAct_id_3136~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-476~0~0~2~Sim0
InfoAct_id_3137~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-480~0~0~2~Sim0
InfoAct_id_3138~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-484~0~0~2~Sim0
InfoAct_id_3139~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-488~0~0~2~Sim0
InfoAct_id_3140~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-492~0~0~2~Sim0
InfoAct_id_3141~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-496~0~0~2~Sim0
InfoAct_id_3142~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-500~0~0~2~Sim0
InfoAct_id_3143~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-274~0~0~2~Sim0
InfoAct_id_3144~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-278~0~0~2~Sim0
InfoAct_id_3145~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-282~0~0~2~Sim0
InfoAct_id_3146~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-286~0~0~2~Sim0
InfoAct_id_3147~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-290~0~0~2~Sim0
InfoAct_id_3148~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-307~0~0~2~Sim0
InfoAct_id_3149~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-311~0~0~2~Sim0
InfoAct_id_3150~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-315~0~0~2~Sim0
InfoAct_id_3151~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-319~0~0~2~Sim0
InfoAct_id_3152~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-323~0~0~2~Sim0
InfoAct_id_3153~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-327~0~0~2~Sim0
InfoAct_id_3154~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-331~0~0~2~Sim0
InfoAct_id_3155~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-335~0~0~2~Sim0
InfoAct_id_3156~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-339~0~0~2~Sim0
InfoAct_id_3157~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-4~0~0~2~Sim0
InfoAct_id_3158~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-27~0~0~2~Sim0
InfoAct_id_3159~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-31~0~0~2~Sim0
InfoAct_id_3160~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-35~0~0~2~Sim0
InfoAct_id_3161~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-46~0~0~2~Sim0
InfoAct_id_3162~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-50~0~0~2~Sim0
InfoAct_id_3163~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-54~0~0~2~Sim0
