relationship_action_id~source_agent_id~target_agent_id~action~change_in_trust~tick~simulation_id
Relation_Act_id_137~COL-GEN Anatoly Alekseyevich Sidorov~GEN Alexey Fydorovich Maslov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_138~COL-GEN Anatoly Alekseyevich Sidorov~GEN Alexey Fydorovich Maslov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_139~COL-GEN Anatoly Alekseyevich Sidorov~GEN Alexey Fydorovich Maslov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_140~COL-GEN Anatoly Alekseyevich Sidorov~GEN Alexey Fydorovich Maslov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_141~COL-GEN Anatoly Alekseyevich Sidorov~GEN Alexey Fydorovich Maslov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_142~Egle Juzu~Paulius Keras~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_143~Egle Juzu~Paulius Keras~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_144~GEN Nikolai Yegorovich Makarov~Sergey Kuzhugetovich Shoygu~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_145~GEN Nikolai Yegorovich Makarov~Sergey Kuzhugetovich Shoygu~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_146~GEN Nikolai Yegorovich Makarov~Sergey Kuzhugetovich Shoygu~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_147~GEN Nikolai Yegorovich Makarov~Sergey Kuzhugetovich Shoygu~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_148~GEN Nikolai Yegorovich Makarov~Sergey Kuzhugetovich Shoygu~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_149~GEN Nikolai Yegorovich Makarov~Sergey Kuzhugetovich Shoygu~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_150~GEN Nikolai Yegorovich Makarov~Sergey Kuzhugetovich Shoygu~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_151~GEN Nikolai Yegorovich Makarov~Sergey Kuzhugetovich Shoygu~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_152~GEN Nikolai Yegorovich Makarov~GEN Vladimir Sergeyevich Mikhaylov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_153~GEN Nikolai Yegorovich Makarov~GEN Vladimir Sergeyevich Mikhaylov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_154~GEN Nikolai Yegorovich Makarov~GEN Vladimir Sergeyevich Mikhaylov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_155~GEN Nikolai Yegorovich Makarov~GEN Vladimir Sergeyevich Mikhaylov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_156~GEN Nikolai Yegorovich Makarov~GEN Vladimir Sergeyevich Mikhaylov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_157~GEN Nikolai Yegorovich Makarov~GEN Vladimir Sergeyevich Mikhaylov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_158~GEN Nikolai Yegorovich Makarov~GEN Vladimir Sergeyevich Mikhaylov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_159~GEN Nikolai Yegorovich Makarov~GEN Vladimir Sergeyevich Mikhaylov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_160~GEN Nikolai Yegorovich Makarov~COL-GEN Victor Borisovich Astapov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_161~GEN Nikolai Yegorovich Makarov~COL-GEN Victor Borisovich Astapov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_162~GEN Nikolai Yegorovich Makarov~COL-GEN Victor Borisovich Astapov~INCREASE_TRUST~0.1~3~Sim0
